IdCursosSociosPresentes,IdCurso,idSocio,FechaPresente
566,2,3921,2013-09-30 00:00:00
567,2,2741,2013-09-30 00:00:00
568,2,3936,2013-09-30 00:00:00
569,7,3815,2013-10-01 00:00:00
570,7,2998,2013-10-01 00:00:00
571,2,3935,2013-09-30 00:00:00
572,7,3821,2013-10-01 00:00:00
573,2,3919,2013-09-30 00:00:00
574,7,3386,2013-10-01 00:00:00
575,7,3909,2013-10-01 00:00:00
576,2,3747,2013-09-30 00:00:00
577,7,3815,2013-09-24 00:00:00
578,7,2998,2013-09-24 00:00:00
579,7,3821,2013-09-24 00:00:00
580,7,3386,2013-09-24 00:00:00
581,7,3586,2013-09-24 00:00:00
582,7,3643,2013-09-24 00:00:00
583,7,3686,2013-09-24 00:00:00
584,7,3686,2013-10-01 00:00:00
585,7,3643,2013-10-01 00:00:00
586,7,3586,2013-10-01 00:00:00
587,2,3501,2013-10-02 00:00:00
588,2,3920,2013-10-02 00:00:00
589,2,3921,2013-10-02 00:00:00
590,2,2741,2013-10-02 00:00:00
591,2,3936,2013-10-02 00:00:00
592,2,3919,2013-10-02 00:00:00
593,2,3747,2013-10-02 00:00:00
594,2,3940,2013-10-02 00:00:00
595,1,3062,2013-10-01 00:00:00
596,1,3508,2013-10-01 00:00:00
597,1,3911,2013-10-01 00:00:00
598,1,3836,2013-10-01 00:00:00
599,1,3909,2013-10-01 00:00:00
600,1,3912,2013-10-01 00:00:00
601,1,3926,2013-10-01 00:00:00
602,4,3942,2013-10-03 00:00:00
603,4,3286,2013-10-03 00:00:00
604,4,2597,2013-10-03 00:00:00
605,4,3501,2013-10-03 00:00:00
606,4,3750,2013-10-03 00:00:00
607,4,3667,2013-10-03 00:00:00
608,4,3529,2013-10-03 00:00:00
609,4,3390,2013-10-03 00:00:00
610,4,3921,2013-10-03 00:00:00
611,4,3747,2013-10-03 00:00:00
612,4,3936,2013-10-03 00:00:00
613,4,3019,2013-10-03 00:00:00
614,6,3522,2013-10-03 00:00:00
615,6,3274,2013-10-03 00:00:00
616,6,3498,2013-10-03 00:00:00
617,6,3750,2013-10-03 00:00:00
618,6,2859,2013-10-03 00:00:00
619,6,3040,2013-10-03 00:00:00
620,6,3298,2013-10-03 00:00:00
621,6,3386,2013-10-03 00:00:00
622,8,3177,2013-10-03 00:00:00
623,8,2863,2013-10-03 00:00:00
624,8,3309,2013-10-03 00:00:00
625,8,3776,2013-10-03 00:00:00
626,8,3150,2013-10-03 00:00:00
627,8,3667,2013-10-03 00:00:00
628,8,2851,2013-10-03 00:00:00
629,8,3904,2013-10-03 00:00:00
630,5,2846,2013-10-05 00:00:00
631,5,3299,2013-10-05 00:00:00
632,5,3514,2013-10-05 00:00:00
633,5,2950,2013-10-05 00:00:00
634,5,3053,2013-10-05 00:00:00
635,5,3286,2013-10-05 00:00:00
636,5,2619,2013-10-05 00:00:00
637,5,3435,2013-10-05 00:00:00
638,5,3656,2013-10-05 00:00:00
639,5,3388,2013-10-05 00:00:00
640,5,3546,2013-10-05 00:00:00
641,5,3873,2013-10-05 00:00:00
642,4,3942,2013-10-08 00:00:00
643,4,3286,2013-10-08 00:00:00
644,4,2597,2013-10-08 00:00:00
645,4,3501,2013-10-08 00:00:00
646,4,3667,2013-10-08 00:00:00
647,4,3529,2013-10-08 00:00:00
648,4,3390,2013-10-08 00:00:00
649,4,3921,2013-10-08 00:00:00
650,4,3747,2013-10-08 00:00:00
651,4,3936,2013-10-08 00:00:00
652,4,3935,2013-10-08 00:00:00
653,4,3019,2013-10-08 00:00:00
654,1,2978,2013-10-08 00:00:00
655,1,3062,2013-10-08 00:00:00
656,1,3073,2013-10-08 00:00:00
657,1,3913,2013-10-08 00:00:00
658,1,3911,2013-10-08 00:00:00
659,1,3836,2013-10-08 00:00:00
660,1,3909,2013-10-08 00:00:00
661,1,3926,2013-10-08 00:00:00
662,7,3815,2013-10-08 00:00:00
663,7,2998,2013-10-08 00:00:00
664,7,3386,2013-10-08 00:00:00
665,7,3909,2013-10-08 00:00:00
666,7,3586,2013-10-08 00:00:00
667,7,3643,2013-10-08 00:00:00
668,7,3686,2013-10-08 00:00:00
669,7,3821,2013-10-08 00:00:00
670,3,3822,2013-10-02 00:00:00
671,3,3518,2013-10-02 00:00:00
672,3,2863,2013-10-02 00:00:00
673,3,3680,2013-10-02 00:00:00
674,3,3955,2013-10-02 00:00:00
675,3,3472,2013-10-02 00:00:00
676,3,2577,2013-10-02 00:00:00
677,3,3576,2013-10-02 00:00:00
678,3,3776,2013-10-02 00:00:00
679,3,3608,2013-10-02 00:00:00
680,3,2950,2013-10-02 00:00:00
681,3,3522,2013-10-02 00:00:00
682,3,3939,2013-10-02 00:00:00
683,3,3904,2013-10-02 00:00:00
684,3,3816,2013-10-02 00:00:00
685,3,2863,2013-10-09 00:00:00
686,3,3509,2013-10-09 00:00:00
